0,1956967341,empty,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
1,1956967666,sadness,Layin n bed with a headache  ughhhh...waitin on your call...
2,1956967696,sadness,Funeral ceremony...gloomy friday...
5,1956968477,worry,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
6,1956968487,sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
7,1956968636,worry,Hmmm. http://www.djhero.com/ is down
8,1956969035,sadness,@charviray Charlene my love. I miss you
9,1956969172,sadness,@kelcouch I'm sorry  at least it's Friday?
10,1956969456,negative,cant fall asleep
11,1956969531,worry,Choked on her retainers
12,1956970047,sadness,Ugh! I have to beat this stupid song to get to the next  rude!
13,1956970424,sadness,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
15,1956971077,sadness,The storm is here and the electricity is gone
17,1956971206,sadness,So sleepy again and it's not even that late. I fail once again.
18,1956971473,worry,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
19,1956971586,sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
20,1956971981,worry,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
22,1956972116,negative,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps
23,1956972270,worry,I ate Something I don't know what it is... Why do I keep Telling things about food
24,1956972359,sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
25,1956972444,worry,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
26,1956972557,sadness,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
27,1956972884,worry,Damm servers still down  i need to hit 80 before all the koxpers pass me
28,1956973598,sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
29,1956973690,worry,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
31,1956975441,negative,@cynthia_123 i cant sleep
32,1956975860,negative,I missed the bl***y bus!!!!!!!!
33,1956975876,negative,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk
35,1956976187,negative,Screw you @davidbrussee! I only have 3 weeks...
