1956967341,empty,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
1956967666,sadness,Layin n bed with a headache  ughhhh...waitin on your call...
1956967696,sadness,Funeral ceremony...gloomy friday...
1956968477,worry,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
1956968487,sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
1956968636,worry,Hmmm. http://www.djhero.com/ is down
1956969035,sadness,@charviray Charlene my love. I miss you
1956969172,sadness,@kelcouch I'm sorry  at least it's Friday?
1956969531,worry,Choked on her retainers
1956970047,sadness,Ugh! I have to beat this stupid song to get to the next  rude!
1956970424,sadness,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
1956971077,sadness,The storm is here and the electricity is gone
1956971206,sadness,So sleepy again and it's not even that late. I fail once again.
1956971473,worry,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
1956971586,sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
1956971981,worry,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
1956972270,worry,I ate Something I don't know what it is... Why do I keep Telling things about food
1956972359,sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
1956972444,worry,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
1956972557,sadness,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
1956972884,worry,Damm servers still down  i need to hit 80 before all the koxpers pass me
1956973598,sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
1956973690,worry,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
1956974706,hate,It is so annoying when she starts typing on her computer in the middle of the night!
1956976312,sadness,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
1956976371,worry,I need skott right now
1956977618,worry,just picked up her Blackberry from the middle of the street! Both she and it are crushed!
1956977624,worry,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...
1956978276,empty,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken
1956978410,worry,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now"
1956978668,worry,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also"
1956979150,sadness,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
1956979900,worry,why am i so tired?
1956979917,empty,@djmicdamn hey yu lil fucker i textd yu
1956980972,worry,sucks not being able to take days off of work or have the money to take the trip  so sad
1956982383,sadness,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
1956982449,worry,@itsgabbith at once haha.  poor aby still gets sore!
1956982576,sadness,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
